date,position,track_id,track_name,artist,streams
2018-02-01,1,7MrDfa1uQGVXx0JMZ2u5tN,Hayaan Mo Sila,Ex Battalion,231166
2018-02-01,2,76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,196134
2018-02-01,3,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,175360
2018-02-01,4,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,147472
2018-02-01,5,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,145228
2018-02-01,6,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,141461
2018-02-01,7,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,Camila Cabello,141310
2018-02-01,8,0qt9ivU6UEP3YdNUiZsnYR,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,134321
2018-02-01,9,3hBBKuWJfxlIlnd9QFoC8k,What Lovers Do (feat. SZA),Maroon 5,128113
2018-02-01,10,74ODGXs4byLTRdnKGM4s6E,Super Far,LANY,125195
2018-02-01,11,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,122748
2018-02-01,12,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,117111
2018-02-01,13,5AEtlRudpgdT5FtNiuly6Y,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,116907
2018-02-01,14,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,115592
2018-02-01,15,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,110744
2018-02-01,16,42nrX5b8ZUYRcw2puNY8tb,Titibo-Tibo,Moira Dela Torre,110104
2018-02-01,17,7EmGUiUaOSGDnUUQUDrOXC,Wolves,Selena Gomez,109721
2018-02-01,18,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,106738
2018-02-01,19,12SJpYZEdj4kzWZ8FPFg4Y,All The Stars (with SZA),Kendrick Lamar,97609
2018-02-01,20,4aUf4lzQ1di5JajZ4a9FuI,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,93784
2018-02-01,21,6mrKP2jyIQmM0rw6fQryjr,Let You Down,NF,88085
2018-02-01,22,5UEnHoDYpsxlfzWLZIc7LD,River (feat. Ed Sheeran),Eminem,86211
2018-02-01,23,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,85033
2018-02-01,24,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Zac Efron,84116
2018-02-01,25,1WtpRQUvbyZAoEchymInA9,"Sundo - From ""The Good Son""",Moira Dela Torre,83766
2018-02-01,26,2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),Clean Bandit,82283
2018-02-01,27,0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,Kaye Cal,80072
2018-02-01,28,32DGGj6KlNuBr6WaqRxpxi,How Long,Charlie Puth,79316
2018-02-01,29,0NiXXAI876aGImAd6rTj8w,Mama,Jonas Blue,77387
2018-02-01,30,46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,76793
2018-02-01,31,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,75730
2018-02-01,32,4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,75036
2018-02-01,33,2XW4DbS6NddZxRPm5rMCeY,God's Plan,Drake,74601
2018-02-01,34,0tKcYR2II1VCQWT79i5NrW,Thunder,Imagine Dragons,74073
2018-02-01,35,0RGUIOZtmOXTWOy5EjvQbP,Paris in the Rain,Lauv,73939
2018-02-01,36,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,73577
2018-02-01,37,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,69201
2018-02-01,38,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,Liam Payne,68566
2018-02-01,39,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,68095
2018-02-01,40,1ER60P43ftVOLaMRvBfpnt,Don't Know What To Do (Don't Know What To Say),Mark Carpio,65768
2018-02-01,41,3m660poUr1chesgkkjQM7P,Sorry Not Sorry,Demi Lovato,65482
2018-02-01,42,7jqDzXJS0K0Re8uphYNit0,Sick Boy,The Chainsmokers,65367
2018-02-01,43,1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),Clean Bandit,63686
2018-02-01,44,38yBBH2jacvDxrznF7h08J,Slow Hands,Niall Horan,62597
2018-02-01,45,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,62430
2018-02-01,46,0Wv5wuenRLI3BcwgT3HPIP,A Different Way (with Lauv),DJ Snake,62133
2018-02-01,47,7y4JznkAv2W3IKw9T1o2VK,New,Daya,62121
2018-02-01,48,3towKHKVOXCCcL1fHv6xFO,Capital Letters,Hailee Steinfeld,60528
2018-02-01,49,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,60509
2018-02-01,50,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,60371
2018-02-01,51,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,55706
2018-02-01,52,6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,Shanti Dope,54497
2018-02-01,53,5NDUXbMwcnTQp66tI2zcdR,Fresh Eyes,Andy Grammer,53892
