date,position,track_id,track_name,artist,streams
2020-05-01,1,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,169087
2020-05-01,2,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,160370
2020-05-01,3,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,131335
2020-05-01,4,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,130798
2020-05-01,5,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,129203
2020-05-01,6,47UUjZbqZjcrzELnFBB1Ht,Teka Lang,Emman,124698
2020-05-01,7,4kS01K2URu522IomkGOFHl,Beautiful Scars,Maximillian,123570
2020-05-01,8,466cKvZn1j45IpxDdYZqdA,Toosie Slide,Drake,120015
2020-05-01,9,3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,Jr Crown,118163
2020-05-01,10,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Doja Cat,117129
2020-05-01,11,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,116650
2020-05-01,12,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,115433
2020-05-01,13,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,111009
2020-05-01,14,3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,Ben&Ben,110125
2020-05-01,15,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,103813
2020-05-01,16,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,101516
2020-05-01,17,2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,100970
2020-05-01,18,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,97197
2020-05-01,19,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,96834
2020-05-01,20,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,92198
2020-05-01,21,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,91262
2020-05-01,22,6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,The Juans,87103
2020-05-01,23,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,86269
2020-05-01,24,1x7DysraeqSgVgj95hHc3U,Araw-Araw Love,Flow G,82548
2020-05-01,25,0G5qmu4TsdUH19zdcbI9Ui,Vibe With Me,Matthaios,80771
2020-05-01,26,2rRJrJEo19S2J82BDsQ3F7,Falling,Trevor Daniel,77241
