date,position,track_id,track_name,artist,streams
2020-03-01,1,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,272150
2020-03-01,2,2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,260040
2020-03-01,3,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,254886
2020-03-01,4,3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,Ben&Ben,234450
2020-03-01,5,5l9g7py8RCblcvbZgGQgSd,Pagtingin,Ben&Ben,232542
2020-03-01,6,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,231297
2020-03-01,7,16wAOAZ2OkqoIDN7TpChjR,Yummy,Justin Bieber,205392
2020-03-01,8,4YMfE4r1JWADFw2Fn74XW2,Catriona,Matthaios,193487
2020-03-01,9,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,192621
2020-03-01,10,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,190605
2020-03-01,11,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,184917
2020-03-01,12,0luyrm1L6gjtoLekHOf67t,Masyado Pang Maaga,Ben&Ben,181458
2020-03-01,13,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,178118
2020-03-01,14,6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,The Juans,172412
2020-03-01,15,0G5qmu4TsdUH19zdcbI9Ui,Vibe With Me,Matthaios,163763
2020-03-01,16,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,152308
2020-03-01,17,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,146579
2020-03-01,18,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,143521
2020-03-01,19,4z1rk9qlsqhp5LJm5qvXZF,Mean It,Lauv,142717
2020-03-01,20,5jLUKFlEJzOf6b6PCaohFI,I Want You Back,Matthaios,140525
2020-03-01,21,4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,Ben&Ben,140516
2020-03-01,22,54b8IPvheXDpro2VR2rWAS,Ivana,Soulstice,137383
2020-03-01,23,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,137167
2020-03-01,24,3IB5qOeMayvpOdHxYCL5tZ,ON (Feat. Sia),BTS,134979
2020-03-01,25,1yDiru08Q6omDOGkZMPnei,Maybe The Night,Ben&Ben,125791
2020-03-01,26,4SQ3HwsAiGTikY7gOAybwH,Fall,Ben&Ben,125070
2020-03-01,27,2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,Michael Dutchi Libranda,124203
2020-03-01,28,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,115933
2020-03-01,29,34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,PDL,115026
2020-03-01,30,5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,113013
2020-03-01,31,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,110583
2020-03-01,32,2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,109951
2020-03-01,33,6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,109347
2020-03-01,34,3xaugmCyXrVkrDTXbFkMW3,Sanctuary,Joji,107712
2020-03-01,35,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,106831
2020-03-01,36,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,105332
2020-03-01,37,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,104153
2020-03-01,38,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,101679
2020-03-01,39,4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Kina,99910
2020-03-01,40,58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,96244
2020-03-01,41,1X4l4i472kW5ofFP8Xo0x0,Sana,I Belong to the Zoo,95205
2020-03-01,42,4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,Bazzi,95152
2020-03-01,43,33N0DfqkeNyir1emyxNVG5,Tattoos Together,Lauv,91134
2020-03-01,44,2kJu14V7hbZw3I4K8L8SXb,Stupid Love,Lady Gaga,89348
2020-03-01,45,6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,87196
2020-03-01,46,314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),BTS,86549
2020-03-01,47,2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,85442
2020-03-01,48,2QyuXBcV1LJ2rq01KhreMF,ON,BTS,84516
