date,position,track_id,track_name,artist,streams
2018-06-01,1,4u8RkgV6P4TLi89SmlUtv8,Mundo,IV Of Spades,193713
2018-06-01,2,3BPoSr2pO34Aan6alFfVto,BBoom BBoom,MOMOLAND,185109
2018-06-01,3,10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),Lil Dicky,179133
2018-06-01,4,5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,168989
2018-06-01,5,6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,Shanti Dope,165019
2018-06-01,6,0ztDBQdQmdVZvorSmIjMih,Tagpuan,Moira Dela Torre,160900
2018-06-01,7,2ARqIya5NAuvFVHSN3bL0m,The Middle,Zedd,154613
2018-06-01,8,7Fg342AJtNsIDdwCfX0paC,Let Me,ZAYN,133294
2018-06-01,9,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,132935
2018-06-01,10,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,131263
2018-06-01,11,76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,122303
2018-06-01,12,6SFStUDQZNaGPKWOx9ZiJB,2002,Anne-Marie,121779
2018-06-01,13,3pWcj8hxj3fsb9TDAcMpEl,Somebody,The Chainsmokers,121237
2018-06-01,14,08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,109239
2018-06-01,15,4F1yvJfQ7gJkrcgFJQDjOr,Playinwitme (feat. Kehlani),KYLE,109182
2018-06-01,16,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Zac Efron,108687
2018-06-01,17,6Hgh47WXVKtXN5zGOu0hjI,OTW,Khalid,108193
2018-06-01,18,0BkKdJSpKqzYLEneerSHq3,Mau,Shanti Dope,107001
2018-06-01,19,514rhnksEwHUh6LxXsQ4Y9,Back To You,Selena Gomez,104130
2018-06-01,20,7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,102438
2018-06-01,21,3aW0ds4A4tSQDIp75FqWTo,FAKE LOVE,BTS,98028
2018-06-01,22,5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,92900
2018-06-01,23,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,91015
2018-06-01,24,7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,86526
2018-06-01,25,2z7UKVsBdbA7HFPunDKDP4,Strawberries & Cigarettes,Troye Sivan,85682
2018-06-01,26,2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,Moira Dela Torre,84275
2018-06-01,27,2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,83916
2018-06-01,28,5SwEgzUFDHwpWHKrbnP32Z,Youth feat. Khalid,Shawn Mendes,80787
