track_id,track_name,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,0du5cEVh5yTK9QJze8zA0C,spotify:album:4PgleR09JVnm3zY1fW3XBA,261240,2016-11-17,75,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,spotify:album:7oiJYvEJHsmYtrgviAVIBD,211466,2016-10-28,85,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,spotify:album:0rSLgV8p5FzfnqlEk4GzxE,244960,2016-07-29,84,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
2rizacJSyD9S1IQUxUxnsK,All We Know,69GGBxA162lTqCwzJG5jLp,spotify:album:0xmaV6EtJ4M3ebZUPRnhyb,194080,2016-09-29,69,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,04gDigrS5kc9YWfZHwBETP,spotify:album:0fvTn3WXF39kQs9i3bnNpP,214480,2016-10-11,14,0.783,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048
6b8Be6ljOzmkOmFslEb23P,24K Magic,0du5cEVh5yTK9QJze8zA0C,spotify:album:4PgleR09JVnm3zY1fW3XBA,225983,2016-11-17,77,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
1qOLh0tI7trd1zdDKxYZTe,Starving,5p7f24Rk5HkUZsaS3BLG5F,spotify:album:3Nuw6arrA8kVwhIvyGbiku,181880,2016-07-15,2,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",2wUjUUtkb5lvLKcGKsKqsR,spotify:album:25IBuKrmZbgOVCGNigTXar,175517,2016-10-28,16,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,540vIaP2JwjQb9dm3aArA4,spotify:album:55bbXORm6ZrVq52zfZnxBf,205946,2016-08-05,20,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
5aAx2yezTd8zXrkmtKl66Z,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,spotify:album:09fggMHib4YkOtwQNXEBII,230453,2016-11-25,16,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
4izP2KMwrhAdZEtIyp8Z8w,Jumpshot,46GXASE9LHzyssNqKOInUu,spotify:album:2JtS8H9AIn9oSE9Hja7GIs,209093,2016-07-29,1,0.909,0.63,6,-3.9,0,0.0852,0.19,0.0,0.0291,0.803,97.027
