artist_id,artist_name,total_followers,genres,popularity
62Jfwxon19ZOT9eSL6bvtY,Sweater Beats,41050,"['gauze pop', 'vapor twitch']",48
2TX325jFbZFpe2OGZNo4Lx,Markus,840,[],40
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,3298064,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",76
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,14266504,"['pop', 'r&b', 'soul']",83
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2480240,"['dance pop', 'pop', 'pop rap']",76
2JLqTvFXmC87BksiCsBezV,Matt Terry,117253,['talent show'],51
1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,319262,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock']",55
3xbpJdoJDLAfYn3ZeLlukg,Bosx1ne,86276,"['pinoy hip hop', 'pinoy r&b']",54
2U5mF0PZqGu6glnz55yY0y,John Roa,634599,"['opm', 'pinoy indie']",59
6U1dBXJhC8gXFjamvFTmHg,Zac Efron,633876,"['hollywood', 'post-teen pop', 'show tunes']",74
0touaoSr4QOLYxBJ9lmGgK,Karencitta,90992,"['pinoy r&b', 'pinoy trap', 'vispop']",43
7HV2RI2qNug4EcQqLbCAKS,Keala Settle,123177,"['broadway', 'hollywood', 'show tunes']",71
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,1988007,"['irish rock', 'pop rock']",74
17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,162419,"['opm', 'pinoy r&b']",50
6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,841155,"['opm', 'pinoy alternative rap', 'pinoy hip hop', 'pinoy indie', 'pinoy r&b', 'pinoy rock', 'pinoy trap']",58
4WN5naL3ofxrVBgFpguzKo,Rudimental,1163148,"['dance pop', 'edm', 'liquid funk', 'pop', 'tropical house', 'uk dance', 'uk funky']",75
3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,155990,"['dance pop', 'electropop', 'indie cafe pop', 'indie electropop', 'indie poptimism', 'pop', 'post-teen pop']",60
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,3083573,"['pop', 'post-teen pop']",84
0LyOADBjj28cbvJWTXUEGA,Loren Allred,68846,"['deep talent show', 'hollywood', 'movie tunes']",64
