position,track_name,artist,streams,URL,date
1,Versace on the Floor,Bruno Mars,323060,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-02-01
2,Shape of You,Ed Sheeran,292489,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-01
3,Say You Won't Let Go,James Arthur,259328,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-02-01
4,Paris,The Chainsmokers,188459,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-02-01
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,185709,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-02-01
6,"How Far I'll Go - From ""Moana""",Alessia Cara,167423,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-02-01
7,Don't Wanna Know,Maroon 5,154140,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-02-01
8,Closer,The Chainsmokers,152807,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-02-01
9,24K Magic,Bruno Mars,150618,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-02-01
10,Bad Things (with Camila Cabello),Machine Gun Kelly,144355,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-02-01
11,Starving,Hailee Steinfeld,143905,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-02-01
12,All We Know,The Chainsmokers,135879,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-02-01
13,Call On Me - Ryan Riback Extended Remix,Starley,127991,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-02-01
14,That's What I Like,Bruno Mars,127664,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-02-01
15,All Night,The Vamps,122707,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-02-01
16,Perfect Strangers,Jonas Blue,119397,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-02-01
17,Sila,SUD,110131,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-02-01
18,Fresh Eyes,Andy Grammer,110004,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-02-01
19,Just Hold On,Steve Aoki,108698,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-02-01
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,106075,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-02-01
21,Starboy,The Weeknd,105864,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-02-01
22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,105116,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-02-01
23,Let Me Love You,DJ Snake,101858,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-02-01
24,By Your Side,Jonas Blue,97506,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-02-01
25,Side To Side,Ariana Grande,97132,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-02-01
26,Lot to Learn,Luke Christopher,96569,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-02-01
27,Weak,AJR,95857,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-02-01
28,Treat You Better,Shawn Mendes,94057,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-02-01
29,Jumpshot,Dawin,93684,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-02-01
30,In the Name of Love,Martin Garrix,93488,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-02-01
31,Castle on the Hill,Ed Sheeran,87542,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-02-01
32,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,84010,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-02-01
33,Shout Out to My Ex,Little Mix,83433,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,2017-02-01
34,"i hate u, i love u (feat. olivia o'brien)",gnash,83144,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2017-02-01
35,Issues,Julia Michaels,83094,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-02-01
36,Middle,DJ Snake,80426,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2017-02-01
37,Pasensya Ka Na,Silent Sanctuary,79412,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2017-02-01
38,Hanggang Kailan,Michael Pangilinan,79366,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-02-01
39,YOUTH,Troye Sivan,77727,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9,2017-02-01
40,Love Me Now,John Legend,75210,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-02-01
41,Scars To Your Beautiful,Alessia Cara,74496,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-02-01
42,"Sit Still, Look Pretty",Daya,73354,https://open.spotify.com/track/2DpCdPMg1BADE4HDnxt3Rd,2017-02-01
43,Mercy,Shawn Mendes,71209,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-02-01
44,I Feel It Coming,The Weeknd,70067,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-02-01
45,Tadhana,Up Dharma Down,69411,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-02-01
46,All Time Low,Jon Bellion,67487,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-02-01
47,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,66916,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-02-01
48,We Don't Talk Anymore,Charlie Puth,66576,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-02-01
49,You & Me,Marc E. Bassy,64810,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,2017-02-01
50,The Ocean (feat. Shy Martin),Mike Perry,64279,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,2017-02-01
51,Scared to Be Lonely,Martin Garrix,59680,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-02-01
52,Photograph,Ed Sheeran,55208,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-02-01
53,Sunset Lover,Petit Biscuit,50800,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-02-01
54,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,49033,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ,2017-02-01
