Position,Track Name,Artist,Streams,URL,Date
1,Kill This Love,BLACKPINK,213705,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-05-13
2,I Don't Care (with Justin Bieber),Ed Sheeran,174294,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-05-13
3,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,165015,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,2019-05-13
4,Boy With Luv (feat. Halsey),BTS,159980,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-05-13
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,149008,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-05-13
6,Pauwi Nako,PDL,147697,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2019-05-13
7,Sana,I Belong to the Zoo,141582,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-05-13
8,Kahit Ayaw Mo Na,This Band,138579,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-05-13
9,Dalaga,ALLMO$T,129931,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x,2019-05-13
10,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,126088,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk,2019-05-13
11,Talk (feat. Disclosure),Khalid,120797,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-05-13
12,Maybe The Night,Ben&Ben,120251,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-05-13
13,Bagay Tayo,ALLMO$T,112388,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-05-13
14,If I Can't Have You,Shawn Mendes,111720,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019-05-13
15,Buwan,juan karlos,109215,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019-05-13
16,i'm so tired...,Lauv,106779,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-05-13
17,Kung 'Di Rin Lang Ikaw,December Avenue,106416,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-05-13
18,Bulong,December Avenue,106385,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-05-13
19,comethru,Jeremy Zucker,106052,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-05-13
20,Hindi Na Nga,This Band,103456,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-05-13
21,bad guy,Billie Eilish,99848,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-05-13
22,Missin You Crazy,Russ,95987,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-05-13
23,Balang Araw,I Belong to the Zoo,95250,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-05-13
24,Sucker,Jonas Brothers,90235,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-05-13
25,Kathang Isip,Ben&Ben,87788,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-05-13
26,Love Someone,Lukas Graham,85388,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-05-13
27,Without Me,Halsey,83376,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-05-13
28,Best Part (feat. Daniel Caesar),H.E.R.,82528,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-05-13
29,Sa Susunod Na Lang,PDL,82040,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-05-13
30,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,79751,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-05-13
31,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,78042,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-05-13
32,Paradise,Bazzi,77549,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019-05-13
