Position,Track Name,Artist,Streams,URL,Date
1,Memories,Maroon 5,392951,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-11-09
2,Neneng B,Nik Makino,282073,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2019-11-09
3,Pagtingin,Ben&Ben,241977,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-11-09
4,Zebbiana,Skusta Clee,240156,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-11-09
5,"10,000 Hours (with Justin Bieber)",Dan + Shay,224362,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-11-09
6,Binalewala - Original Version,Michael Dutchi Libranda,176869,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2019-11-09
7,Hindi Tayo Pwede,The Juans,173462,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2019-11-09
8,Sa Susunod Na Lang,PDL,171926,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-11-09
9,Masyado Pang Maaga,Ben&Ben,162668,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2019-11-09
10,Circles,Post Malone,160392,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-11-09
11,Ikaw At Ako,Moira Dela Torre,149833,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-11-09
12,comethru,Jeremy Zucker,148993,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-11-09
13,Señorita,Shawn Mendes,148938,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-09
14,Don't Start Now,Dua Lipa,147357,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-11-09
15,Lose You To Love Me,Selena Gomez,143844,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-09
16,I.F.L.Y.,Bazzi,143254,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-11-09
17,Beautiful People (feat. Khalid),Ed Sheeran,137802,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-11-09
18,Mabagal,Daniel Padilla,134881,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2019-11-09
19,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,132216,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-11-09
20,Sanctuary,Joji,122901,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-11-09
21,It's You,Ali Gatie,121431,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2019-11-09
22,Kathang Isip,Ben&Ben,120246,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-11-09
23,Someone You Loved,Lewis Capaldi,119799,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-11-09
24,Dahan,December Avenue,112085,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-11-09
25,How Do You Sleep?,Sam Smith,110300,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-11-09
26,Feelings,Lauv,109693,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ,2019-11-09
27,Kung 'Di Rin Lang Ikaw,December Avenue,108409,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-11-09
28,Dalaga,Arvey,105500,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr,2019-11-09
29,Nobody Knows,Russ,104088,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-11-09
30,Bagay Tayo,ALLMO$T,102802,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-11-09
31,I Don't Care (with Justin Bieber),Ed Sheeran,102112,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-11-09
32,Goodbyes (Feat. Young Thug),Post Malone,99999,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-11-09
33,Make It Right (feat. Lauv),BTS,99648,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH,2019-11-09
34,Sana,I Belong to the Zoo,95858,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-11-09
35,Get You The Moon (feat. Snøw),Kina,95018,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019-11-09
36,Maybe The Night,Ben&Ben,90065,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-11-09
37,Balang Araw,I Belong to the Zoo,89817,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-11-09
38,"Patawad, Paalam",Moira Dela Torre,89028,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2019-11-09
39,Sa Ngalan Ng Pag-Ibig,December Avenue,85950,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-11-09
40,"fuck, i'm lonely",Lauv,85039,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-11-09
41,'Di Na Babalik,This Band,82073,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-11-09
42,Could I Love You Any More (feat. Jason Mraz),Reneé Dominique,81024,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8,2019-11-09
43,Paalam,Moira Dela Torre,79892,https://open.spotify.com/track/22AZDYG6qrjMFg0ceeL9X6,2019-11-09
44,Kahit Ayaw Mo Na,This Band,74439,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-11-09
45,Nang Iwan,This Band,72298,https://open.spotify.com/track/7Livy729zY16jBsppfYLRW,2019-11-09
46,Missin You Crazy,Russ,72263,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-11-09
47,Hindi Na Nga,This Band,69705,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-11-09
48,Dance Monkey,Tones And I,68054,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-09
49,Araw-Araw,Ben&Ben,67798,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm,2019-11-09
