Position,Track Name,Artist,Streams,URL,Date
1,Kill This Love,BLACKPINK,248834,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-04-22
2,Boy With Luv (feat. Halsey),BTS,209581,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-04-22
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,188935,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-04-22
4,Pauwi Nako,PDL,188132,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2019-04-22
5,Dalaga,ALLMO$T,180621,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x,2019-04-22
6,Sana,I Belong to the Zoo,173607,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-04-22
7,Kahit Ayaw Mo Na,This Band,163061,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-04-22
8,Kung 'Di Rin Lang Ikaw,December Avenue,162834,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-04-22
9,Buwan,juan karlos,142667,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019-04-22
10,Talk (feat. Disclosure),Khalid,137410,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-04-22
11,Maybe The Night,Ben&Ben,133434,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-04-22
12,Bulong,December Avenue,133032,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-04-22
13,Hindi Na Nga,This Band,131782,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-04-22
14,Balang Araw,I Belong to the Zoo,125014,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-04-22
15,Missin You Crazy,Russ,120983,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-04-22
16,i'm so tired...,Lauv,120324,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-04-22
17,Sa Ngalan Ng Pag-Ibig,December Avenue,115701,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-04-22
18,comethru,Jeremy Zucker,102729,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-04-22
19,"thank u, next",Ariana Grande,101638,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-04-22
20,Bagay Tayo,ALLMO$T,100382,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi,2019-04-22
21,Sucker,Jonas Brothers,100209,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-04-22
22,Love Someone,Lukas Graham,98548,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-04-22
23,Malibu Nights,LANY,95989,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2019-04-22
24,Best Part (feat. Daniel Caesar),H.E.R.,95318,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-04-22
25,Dancing With A Stranger (with Normani),Sam Smith,95013,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-04-22
26,Kathang Isip,Ben&Ben,94930,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-04-22
27,bad guy,Billie Eilish,94239,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-04-22
28,Don't Know What To Do,BLACKPINK,91736,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X,2019-04-22
29,'Di Na Babalik,This Band,90001,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-04-22
30,"214 - From ""Alone/Together""",JM De Guzman,89486,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2,2019-04-22
31,7 rings,Ariana Grande,87502,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-04-22
32,Happier,Marshmello,82472,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-04-22
33,Without Me,Halsey,81317,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-04-22
34,Ikaw At Ako,Moira Dela Torre,79492,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-04-22
35,Please Me,Cardi B,78811,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-04-22
36,Here With Me,Marshmello,73469,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-04-22
37,Undecided,Chris Brown,73247,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019-04-22
38,Sa Susunod Na Lang,PDL,72510,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-04-22
39,Sweet but Psycho,Ava Max,70347,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-04-22
40,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,68372,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-04-22
41,Who Do You Love,The Chainsmokers,67858,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs,2019-04-22
42,Filipina Girl,Billy Crawford,67786,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR,2019-04-22
43,Kahit Di Mo Alam,December Avenue,67016,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC,2019-04-22
44,Nobody Knows,Russ,65751,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-04-22
45,2002,Anne-Marie,64133,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-04-22
46,I Like Me Better,Lauv,62720,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-04-22
47,Mikrokosmos,BTS,62397,https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC,2019-04-22
48,Kick It,BLACKPINK,58443,https://open.spotify.com/track/5R0cvR5BMFkLomChhmcCzr,2019-04-22
49,Make It Right,BTS,58377,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH,2019-04-22
50,Mundo,IV Of Spades,58324,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2019-04-22
51,"Kapit - From ""Alone / Together""",Armi Millare,58221,https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr,2019-04-22
52,Paradise,Bazzi,57756,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019-04-22
53,Tagpuan,Moira Dela Torre,57405,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2019-04-22
54,"break up with your girlfriend, i'm bored",Ariana Grande,57164,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-04-22
55,FANCY,TWICE,56315,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA,2019-04-22
56,On My Way,Alan Walker,55902,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,2019-04-22
57,Beautiful (feat. Camila Cabello),Bazzi,55300,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-04-22
58,DDU-DU DDU-DU,BLACKPINK,53051,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw,2019-04-22
59,Outta My Head (with John Mayer),Khalid,52869,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP,2019-04-22
60,Girls Like You (feat. Cardi B),Maroon 5,51665,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-04-22
61,HOME,BTS,49586,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8,2019-04-22
62,'Di Na Muli,Janine Teñoso,48387,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo,2019-04-22
63,Dionysus,BTS,48268,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ,2019-04-22
64,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,47126,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-04-22
65,"Pangako - Recorded at Kodama Studios, Philippines",Silent Sanctuary,46645,https://open.spotify.com/track/5CThcDR9mycL3TjNKQ2qFk,2019-04-22
66,Thru These Tears,LANY,46089,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2019-04-22
67,As If It's Your Last,BLACKPINK,45063,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot,2019-04-22
68,SOLO,JENNIE,44986,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-04-22
69,Pasensya Ka Na,Silent Sanctuary,43952,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2019-04-22
70,Jamais Vu,BTS,43948,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa,2019-04-22
71,Hope Not,BLACKPINK,43395,https://open.spotify.com/track/32107DdzIGbVs9Pi54MuRS,2019-04-22
72,Thick And Thin,LANY,43340,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8,2019-04-22
73,Say You Won't Let Go,James Arthur,43109,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-04-22
74,Dahan,December Avenue,43082,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-04-22
75,Kung Wala Ka,Hale,42910,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn,2019-04-22
76,Ex,Callalily,42906,https://open.spotify.com/track/7bkAr4WNoTuSjpuh1NRQjm,2019-04-22
77,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)",Moira Dela Torre,41418,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac,2019-04-22
78,Tadhana,Up Dharma Down,41112,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2019-04-22
79,Earth,Lil Dicky,40856,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO,2019-04-22
80,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,40691,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-04-22
81,IDGAF,Dua Lipa,40567,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-04-22
82,Eastside (with Halsey & Khalid),benny blanco,40011,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-04-22
83,This Feeling,The Chainsmokers,39909,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-04-22
84,Too Good At Goodbyes,Sam Smith,39699,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-04-22
85,Bakit Ba Ikaw,Michael Pangilinan,39566,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s,2019-04-22
86,BOOMBAYAH - KR Ver.,BLACKPINK,38990,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt,2019-04-22
87,Weak,Khel Pangilinan,38863,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2019-04-22
88,Ex,Callalily,38853,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo,2019-04-22
89,Better,Khalid,38481,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-04-22
90,SOS,Avicii,37572,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,2019-04-22
91,The Middle,Zedd,37011,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-04-22
92,Intro : Persona,BTS,36592,https://open.spotify.com/track/2isSdmQfVv32j2haL6hk9x,2019-04-22
93,Shallow,Lady Gaga,36574,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-04-22
94,There's No Way (feat. Julia Michaels),Lauv,36252,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ,2019-04-22
95,So Am I,Ava Max,35562,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019-04-22
96,I Don't Wanna Love You Anymore,LANY,35469,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2019-04-22
97,Nadarang,Shanti Dope,34908,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF,2019-04-22
98,Urong Sulong,Alisson Shore,34563,https://open.spotify.com/track/2KoWHNtJrbE0WxWfQjYjyu,2019-04-22
99,Migraine,Moonstar88,34538,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA,2019-04-22
100,Sandali,Because,34081,https://open.spotify.com/track/0WRSaei4JRI1KTYhMqQh9y,2019-04-22
101,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,33832,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh,2019-04-22
102,Rewrite The Stars,Zac Efron,33781,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2019-04-22
103,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,33744,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,2019-04-22
104,Power is Power,SZA,33691,https://open.spotify.com/track/35RDmXJ59YYGNlv1KfTGsP,2019-04-22
105,"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines",IV Of Spades,33220,https://open.spotify.com/track/0BEpSEV02FM1N5gcw2fsJC,2019-04-22
106,Kiss and Make Up,Dua Lipa,33022,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-04-22
107,You Are The Reason,Calum Scott,32974,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B,2019-04-22
108,Oks Lang,John Roa,32812,https://open.spotify.com/track/6YEO7K4hwGKh7BmNxMMvkc,2019-04-22
109,Magbalik,Callalily,32498,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE,2019-04-22
110,Leaves,Ben&Ben,32327,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2019-04-22
111,Ang Huling El Bimbo,Eraserheads,32154,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r,2019-04-22
112,달라달라 (DALLA DALLA),ITZY,32011,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT,2019-04-22
113,DDU-DU DDU-DU - Remix,BLACKPINK,31881,https://open.spotify.com/track/7tXQdx76iQVFeaBGDzXpZ2,2019-04-22
114,Lost In Japan,Shawn Mendes,31747,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-04-22
115,Forever Young,BLACKPINK,31575,https://open.spotify.com/track/56bHclo7YNvpujMveLElQn,2019-04-22
116,Tell Me Where It Hurts,MYMP,31166,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA,2019-04-22
117,Perfect,Ed Sheeran,31130,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-04-22
118,Your Song,Parokya Ni Edgar,30868,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2019-04-22
119,Saturday Nights,Khalid,30706,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-04-22
120,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,December Avenue,30620,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb,2019-04-22
