Position,Track Name,Artist,Streams,URL,Date
1,Kill This Love,BLACKPINK,322068,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-04-10
2,Pauwi Nako,PDL,232526,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2019-04-10
3,Dalaga,ALLMO$T,224896,https://open.spotify.com/track/3sm9FJhwOjsdzrfRgIf1ZK,2019-04-10
4,Kahit Ayaw Mo Na,This Band,216497,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6,2019-04-10
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,210582,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-04-10
6,Sana,I Belong to the Zoo,196156,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-04-10
7,Buwan,juan karlos,187378,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019-04-10
8,Kung 'Di Rin Lang Ikaw,December Avenue,181139,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-04-10
9,Hindi Na Nga,This Band,165922,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l,2019-04-10
10,Bulong,December Avenue,148134,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-04-10
11,Maybe The Night,Ben&Ben,144364,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-04-10
12,Missin You Crazy,Russ,144130,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-04-10
13,i'm so tired...,Lauv,140154,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-04-10
14,Sa Ngalan Ng Pag-Ibig,December Avenue,131814,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-04-10
15,Balang Araw,I Belong to the Zoo,128813,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-04-10
16,Best Part (feat. Daniel Caesar),H.E.R.,120492,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-04-10
17,Love Someone,Lukas Graham,119488,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-04-10
18,Talk (feat. Disclosure),Khalid,117584,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-04-10
19,Don't Know What To Do,BLACKPINK,116085,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X,2019-04-10
20,Malibu Nights,LANY,116058,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2019-04-10
21,Sucker,Jonas Brothers,114589,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-04-10
22,"thank u, next",Ariana Grande,114574,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-04-10
23,Kathang Isip,Ben&Ben,109417,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-04-10
24,"214 - From ""Alone/Together""",JM De Guzman,108859,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2,2019-04-10
25,Kahit Di Mo Alam,December Avenue,108349,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC,2019-04-10
26,Dancing With A Stranger (with Normani),Sam Smith,107280,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-04-10
27,7 rings,Ariana Grande,101645,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-04-10
28,'Di Na Babalik,This Band,97664,https://open.spotify.com/track/5S4T2Pdr8qhetF3UhkwuMj,2019-04-10
29,Ikaw At Ako,Moira Dela Torre,95983,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-04-10
30,comethru,Jeremy Zucker,94212,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-04-10
31,Bagay Tayo,ALLMO$T,92675,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi,2019-04-10
32,bad guy,Billie Eilish,91874,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-04-10
33,Without Me,Halsey,88906,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-04-10
34,Please Me,Cardi B,88880,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-04-10
35,Happier,Marshmello,88060,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-04-10
36,Beautiful (feat. Camila Cabello),Bazzi,84504,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-04-10
37,Here With Me,Marshmello,84356,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-04-10
38,Kick It,BLACKPINK,83953,https://open.spotify.com/track/5R0cvR5BMFkLomChhmcCzr,2019-04-10
39,Undecided,Chris Brown,83405,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019-04-10
