Position,Track Name,Artist,Streams,URL,Date
1,Zebbiana,Skusta Clee,260367,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-09-20
2,Pagtingin,Ben&Ben,227606,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-09-20
3,Señorita,Shawn Mendes,224381,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-09-20
4,Ikaw At Ako,Moira Dela Torre,209316,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-09-20
5,Kung 'Di Rin Lang Ikaw,December Avenue,181940,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-09-20
6,Sa Susunod Na Lang,PDL,175054,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-09-20
7,Beautiful People (feat. Khalid),Ed Sheeran,161630,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-09-20
8,Lover,Taylor Swift,160317,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2019-09-20
9,comethru,Jeremy Zucker,151437,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-09-20
10,I Don't Care (with Justin Bieber),Ed Sheeran,147782,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-09-20
11,How Do You Sleep?,Sam Smith,146923,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-09-20
12,Circles,Post Malone,146704,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-09-20
13,Kathang Isip,Ben&Ben,135729,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-09-20
14,Sana,I Belong to the Zoo,135079,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-09-20
15,Hindi Na Nga,This Band,133751,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-09-20
16,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,128699,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-09-20
17,Nobody Knows,Russ,122524,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-09-20
18,Maybe The Night,Ben&Ben,121757,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-09-20
19,I.F.L.Y.,Bazzi,121661,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-09-20
20,Goodbyes (Feat. Young Thug),Post Malone,120055,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-09-20
21,Dahan,December Avenue,117597,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-09-20
22,Bagay Tayo,ALLMO$T,114298,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-09-20
23,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,114055,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,2019-09-20
24,"fuck, i'm lonely",Lauv,110200,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-09-20
25,Sanctuary,Joji,108187,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-09-20
26,"Patawad, Paalam",Moira Dela Torre,106413,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2019-09-20
27,'Di Na Babalik,This Band,106388,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-09-20
28,Mabagal,Daniel Padilla,104109,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2019-09-20
