Position,Track Name,Artist,Streams,URL,Date
1,"thank u, next",Ariana Grande,308883,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-12-01
2,Buwan,juan karlos,270459,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2018-12-01
3,Kung 'Di Rin Lang Ikaw,December Avenue,243797,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-12-01
4,Sana,I Belong to the Zoo,237263,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2018-12-01
5,Malibu Nights,LANY,201986,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2018-12-01
6,Sa Ngalan Ng Pag-Ibig,December Avenue,201626,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-12-01
7,Maybe The Night,Ben&Ben,188103,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2018-12-01
8,Kathang Isip,Ben&Ben,171088,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-12-01
9,Kahit Ayaw Mo Na,This Band,163118,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6,2018-12-01
10,Love Someone,Lukas Graham,147459,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2018-12-01
11,Happier,Marshmello,145422,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-12-01
12,2002,Anne-Marie,129435,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2018-12-01
13,Thru These Tears,LANY,128885,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2018-12-01
14,Beautiful (feat. Camila Cabello),Bazzi,121034,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-12-01
15,Mundo,IV Of Spades,119943,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-12-01
16,Weak,Khel Pangilinan,117595,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2018-12-01
17,Kiss and Make Up,Dua Lipa,116721,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-12-01
18,Girls Like You (feat. Cardi B),Maroon 5,113293,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-12-01
19,Bulong,December Avenue,112699,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2018-12-01
20,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,108589,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-12-01
21,'Di Na Muli,Janine Teñoso,108340,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-12-01
22,Ex,Callalily,97368,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo,2018-12-01
23,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,96695,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-12-01
24,Better,Khalid,96409,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-12-01
25,I Don't Wanna Love You Anymore,LANY,94552,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2018-12-01
26,8 Letters,Why Don't We,93685,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,2018-12-01
27,Without Me,Halsey,92080,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-12-01
28,SOLO,JENNIE,89577,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2018-12-01
