Position,Track Name,Artist,Streams,URL,Date
1,Memories,Maroon 5,270467,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-12-21
2,ROXANNE,Arizona Zervas,252769,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019-12-21
3,Catriona,Matthaios,238785,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2019-12-21
4,Pagtingin,Ben&Ben,225678,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-12-21
5,Imahe,Magnus Haven,218026,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2019-12-21
6,Neneng B,Nik Makino,200299,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2019-12-21
7,Mean It,Lauv,192849,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,2019-12-21
8,Zebbiana,Skusta Clee,188740,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-12-21
9,Binalewala - Original Version,Michael Dutchi Libranda,182761,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2019-12-21
10,"10,000 Hours (with Justin Bieber)",Dan + Shay,174736,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-12-21
11,Hindi Tayo Pwede,The Juans,169455,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2019-12-21
12,Ayy Macarena,Tyga,167108,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2019-12-21
13,Masyado Pang Maaga,Ben&Ben,150102,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2019-12-21
14,Circles,Post Malone,149899,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-12-21
15,Don't Start Now,Dua Lipa,144967,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-12-21
16,Tala,Sarah Geronimo,142943,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ,2019-12-21
17,Someone You Loved,Lewis Capaldi,136143,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-12-21
18,Make It With You,Ben&Ben,135970,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2019-12-21
19,Sa Susunod Na Lang,PDL,134672,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-12-21
20,All I Want for Christmas Is You,Mariah Carey,132280,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019-12-21
21,Kathang Isip,Ben&Ben,132140,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-12-21
22,Beautiful People (feat. Khalid),Ed Sheeran,127381,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-12-21
23,comethru,Jeremy Zucker,123900,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-12-21
24,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,120489,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-12-21
25,Ikaw At Ako,Moira Dela Torre,119805,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-12-21
26,I Don't Care (with Justin Bieber),Ed Sheeran,109882,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-12-21
27,Kung 'Di Rin Lang Ikaw,December Avenue,108628,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-12-21
28,Maybe The Night,Ben&Ben,107556,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-12-21
29,It's You,Ali Gatie,106791,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2019-12-21
30,Lose You To Love Me,Selena Gomez,106186,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-12-21
31,Sana,I Belong to the Zoo,105691,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-12-21
32,I.F.L.Y.,Bazzi,105256,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-12-21
33,Santa Tell Me,Ariana Grande,105236,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2019-12-21
34,Into the Unknown,Idina Menzel,104768,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,2019-12-21
35,Adore You,Harry Styles,104357,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2019-12-21
36,Dahan,December Avenue,103423,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-12-21
37,Sanctuary,Joji,102173,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-12-21
38,Get You The Moon (feat. Snøw),Kina,99621,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019-12-21
39,Señorita,Shawn Mendes,98248,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-12-21
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,95370,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw,2019-12-21
41,How Do You Sleep?,Sam Smith,93227,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-12-21
