Position,Track Name,Artist,Streams,URL,Date
1,Dynamite,BTS,373175,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE,2020-08-27
2,Teka Lang,Emman,185257,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-08-27
3,Beautiful Scars,Maximillian,172865,https://open.spotify.com/track/4kS01K2URu522IomkGOFHl,2020-08-27
4,WAP (feat. Megan Thee Stallion),Cardi B,157821,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020-08-27
5,Savage Love (Laxed - Siren Beat),Jawsh 685,148978,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-08-27
6,KLWKN,Music Hero,142814,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-08-27
7,Marikit,Juan Caoile,140130,https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar,2020-08-27
8,How You Like That,BLACKPINK,138364,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,2020-08-27
9,Stuck with U (with Justin Bieber),Ariana Grande,132584,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-08-27
10,Not Shy,ITZY,127345,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU,2020-08-27
11,When I Look At You,Miley Cyrus,122159,https://open.spotify.com/track/6ZfXA2xakAvphXOSOJ3u1W,2020-08-27
12,Before You Go,Lewis Capaldi,120663,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-08-27
13,Chinita Girl,Lil Vinceyy,120045,https://open.spotify.com/track/6r7sdXUiKjgEx3I8GQRpSq,2020-08-27
14,Imahe,Magnus Haven,114144,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-08-27
15,Malayo Ka Man,Jr Crown,112691,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo,2020-08-27
16,Mariposa,Peach Tree Rascals,110890,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-08-27
17,Intentions (feat. Quavo),Justin Bieber,104626,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-08-27
18,if this is the last time,LANY,97846,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR,2020-08-27
19,Sa Susunod na Habang Buhay,Ben&Ben,95094,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd,2020-08-27
20,cardigan,Taylor Swift,90394,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,2020-08-27
21,Someone You Loved,Lewis Capaldi,90083,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-08-27
22,Miloves (Otw Sayo),King Badger,89955,https://open.spotify.com/track/44jJiCwGdnqqCkgqlvCIdp,2020-08-27
23,Go Crazy,Chris Brown,88094,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020-08-27
24,Titig,MC Einstein,88041,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci,2020-08-27
25,Kathang Isip,Ben&Ben,86633,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2020-08-27
26,Araw-Araw Love,Flow G,86607,https://open.spotify.com/track/1x7DysraeqSgVgj95hHc3U,2020-08-27
27,Heather,Conan Gray,84872,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-08-27
28,you!,LANY,84817,https://open.spotify.com/track/4lSMKPkbZOAYPw3zxJ2eAF,2020-08-27
29,Watermelon Sugar,Harry Styles,82494,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-08-27
30,Maybe The Night,Ben&Ben,81649,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2020-08-27
31,Binibini,Matthaios,81257,https://open.spotify.com/track/13pv5UWJttg8NNplCaaOYh,2020-08-27
32,Higa,Arthur Nery,76619,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC,2020-08-27
33,Nakikinig Ka Ba Sa Akin,Ben&Ben,74896,https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM,2020-08-27
34,Pagtingin,Ben&Ben,74819,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2020-08-27
35,Nobody's Love,Maroon 5,74429,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq,2020-08-27
36,Make It With You,Ben&Ben,73755,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-08-27
37,Pangga,Matthaios,72899,https://open.spotify.com/track/2YreeV0asmC6tgM4IH2g5F,2020-08-27
38,ily (i love you baby) (feat. Emilee),Surf Mesa,72817,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020-08-27
39,Kabilang Buhay,Bandang Lapis,71832,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG,2020-08-27
40,Vibe With Me,Matthaios,69476,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui,2020-08-27
41,death bed (coffee for your head),Powfu,69405,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-08-27
42,Memories,Maroon 5,68109,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-08-27
43,Hindi Tayo Pwede,The Juans,68023,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2020-08-27
44,Sunday Best,Surfaces,66818,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-08-27
45,Supalonely,BENEE,66697,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020-08-27
46,Boy With Luv (feat. Halsey),BTS,65847,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2020-08-27
47,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,63519,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ,2020-08-27
48,"10,000 Hours (with Justin Bieber)",Dan + Shay,63219,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-08-27
49,Make You Mine,PUBLIC,62656,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g,2020-08-27
50,Lifetime,Ben&Ben,62539,https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW,2020-08-27
51,Malibu Nights,LANY,61261,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2020-08-27
52,Dance Monkey,Tones And I,60568,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-08-27
53,Leaves,Ben&Ben,60335,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2020-08-27
54,ROCKSTAR (feat. Roddy Ricch),DaBaby,59647,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-08-27
55,Sana,I Belong to the Zoo,58169,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2020-08-27
56,Love Somebody,Lauv,57765,https://open.spotify.com/track/7LEMGMfmJDd1iLsGD9eV5l,2020-08-27
57,Lose,NIKI,56238,https://open.spotify.com/track/7rgjkzZBhBjObaYsvq8Ej0,2020-08-27
58,Kung 'Di Rin Lang Ikaw,December Avenue,56045,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2020-08-27
59,Midnight Sky,Miley Cyrus,54701,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,2020-08-27
60,my future,Billie Eilish,52537,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,2020-08-27
61,comethru (bonus track),Jeremy Zucker,52374,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m,2020-08-27
62,Your Song,Parokya Ni Edgar,52186,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2020-08-27
63,Maria,Hwa Sa,51125,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh,2020-08-27
64,Say You Won't Let Go,James Arthur,50246,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-08-27
65,Kung Pwede Lang,Emman,50177,https://open.spotify.com/track/4KtAI0WOLiaeOfBT87shZG,2020-08-27
66,Rainbow,South Border,49592,https://open.spotify.com/track/3ueq4reab02CypseErxvwS,2020-08-27
67,Psycho,Red Velvet,49413,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-08-27
68,you broke me first,Tate McRae,49374,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020-08-27
69,Rain On Me (with Ariana Grande),Lady Gaga,48544,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-08-27
70,Araw-Araw,Ben&Ben,48365,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm,2020-08-27
71,Out of My League,Stephen Speaks,48267,https://open.spotify.com/track/2PkQeKapTNUjwpKLf8aJlq,2020-08-27
72,I Like Me Better,Lauv,48173,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-08-27
73,exile (feat. Bon Iver),Taylor Swift,47607,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,2020-08-27
74,Don't Start Now,Dua Lipa,47257,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-08-27
75,Circles,Post Malone,47056,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-08-27
76,the 1,Taylor Swift,47033,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,2020-08-27
77,Best Part (feat. Daniel Caesar),H.E.R.,44912,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2020-08-27
78,Stay Gold,BTS,44852,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,2020-08-27
79,Miracle Nights,ALLMO$T,44091,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB,2020-08-27
80,ON,BTS,43668,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF,2020-08-27
81,no song without you,HONNE,43498,https://open.spotify.com/track/1lNHWPDvKEbamKezpLq7HW,2020-08-27
82,Sa Ngalan Ng Pag-Ibig,December Avenue,43387,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2020-08-27
83,Daylight,Joji,42985,https://open.spotify.com/track/6Ed1q0X8oSKSm4IIhiQbYg,2020-08-27
84,Passenger Seat,Stephen Speaks,42894,https://open.spotify.com/track/47nJrlVeOWNEI4hppa7ha9,2020-08-27
85,eight(Prod.&Feat. SUGA of BTS),IU,42734,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe,2020-08-27
86,2002,Anne-Marie,42122,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2020-08-27
87,Sa Susunod Na Lang,PDL,41982,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2020-08-27
88,MORE & MORE,TWICE,41839,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg,2020-08-27
89,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,41550,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2020-08-27
90,The Day You Said Goodnight,Hale,40774,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3,2020-08-27
91,Blinding Lights,The Weeknd,40515,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-08-27
92,I,Twenty Nine Eleven,40447,https://open.spotify.com/track/1Z0sOoWABNbbiadSEea2z9,2020-08-27
93,If the World Was Ending - feat. Julia Michaels,JP Saxe,39639,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-08-27
94,Laugh Now Cry Later (feat. Lil Durk),Drake,39220,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2020-08-27
95,214,Rivermaya,39043,https://open.spotify.com/track/7gZ3kWNtIxFgxjsm5OTVMB,2020-08-27
96,Kahit Ayaw Mo Na,This Band,38999,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2020-08-27
97,Mean It,Lauv,37475,https://open.spotify.com/track/3uc8AGNL0KbvISIrjnfRvN,2020-08-27
98,Someday,Nina,37410,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT,2020-08-27
99,Tell Me Where It Hurts,MYMP,37352,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA,2020-08-27
100,I Need You More Today,Caleb Santos,36804,https://open.spotify.com/track/761frfZtZ8I2g70UsjFfBK,2020-08-27
101,Masyado Pang Maaga,Ben&Ben,36793,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2020-08-27
102,Uuwian,Emman,36608,https://open.spotify.com/track/0GHR9XDrf3j7OI9GWy4915,2020-08-27
103,lowkey,NIKI,36576,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi,2020-08-27
104,Mundo,IV Of Spades,36367,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2020-08-27
105,august,Taylor Swift,35999,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,2020-08-27
106,Be Kind (with Halsey),Marshmello,35904,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,2020-08-27
107,Weak,Khel Pangilinan,35673,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2020-08-27
108,Nobela,Join The Club,35434,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC,2020-08-27
109,Tadhana,Up Dharma Down,34912,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2020-08-27
110,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34785,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020-08-27
111,Beautiful People (feat. Khalid),Ed Sheeran,34529,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2020-08-27
112,Just the Way You Are,Bruno Mars,34306,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2020-08-27
113,Falling,Harry Styles,34305,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-08-27
114,Adore You,Harry Styles,34061,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-08-27
115,I.F.L.Y.,Bazzi,33819,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2020-08-27
116,Kill This Love,BLACKPINK,33509,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2020-08-27
117,Your Song (My One and Only You),Julie Anne San Jose,33403,https://open.spotify.com/track/5Seh4HfqT1mFnRJQswqz51,2020-08-27
118,She Will Be Loved - Radio Mix,Maroon 5,33303,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16,2020-08-27
119,You Are The Reason,Calum Scott,33282,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B,2020-08-27
120,Rewrite The Stars,Zac Efron,33065,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2020-08-27
121,Kung Wala Ka,Hale,32475,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn,2020-08-27
122,Zebbiana,Skusta Clee,32410,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2020-08-27
123,Strawberries & Cigarettes,Troye Sivan,32403,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ,2020-08-27
124,WANNABE,ITZY,32384,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA,2020-08-27
125,With a Smile (feat. Kelly Badon),South Border,32313,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi,2020-08-27
126,Break My Heart,Dua Lipa,32186,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-08-27
127,Stickwitu,The Pussycat Dolls,32107,https://open.spotify.com/track/2lgz3yy1AyoceOVOOBmiOS,2020-08-27
128,I'm Yours,Jason Mraz,31993,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,2020-08-27
129,Too Good At Goodbyes,Sam Smith,31896,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2020-08-27
130,Señorita,Shawn Mendes,31867,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-08-27
131,The Way You Look at Me,Christian Bautista,31562,https://open.spotify.com/track/1C3wg8sCIPqpNQx0wAL4DC,2020-08-27
132,Bakit Ba Ikaw,Michael Pangilinan,31468,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s,2020-08-27
133,La La Lost You - Acoustic Version,NIKI,31414,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN,2020-08-27
134,ILYSB - STRIPPED,LANY,31410,https://open.spotify.com/track/0cboWVpFSP3KYaxBV5pP78,2020-08-27
135,Buwan,juan karlos,31339,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2020-08-27
136,I Don't Care (with Justin Bieber),Ed Sheeran,31291,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-08-27
137,Sour Candy (with BLACKPINK),Lady Gaga,31287,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u,2020-08-27
138,Before I Let You Go,Freestyle,30926,https://open.spotify.com/track/5T8bLnWG8sg9ER8RKNZbCB,2020-08-27
139,Your eyes tell,BTS,30877,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,2020-08-27
140,Beautiful Soul,Jesse McCartney,30604,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,2020-08-27
141,Electric Love,BØRNS,30558,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,2020-08-27
142,It's You,Ali Gatie,30557,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2020-08-27
143,Ang Huling El Bimbo,Eraserheads,30459,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r,2020-08-27
144,Lucky,Jason Mraz,30262,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6,2020-08-27
145,Mood (feat. Iann Dior),24kGoldn,30259,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020-08-27
146,Ikaw At Ako,Moira Dela Torre,30228,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2020-08-27
147,This I Promise You,*NSYNC,29866,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26,2020-08-27
148,So Sick,Ne-Yo,29794,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT,2020-08-27
