Position,Track Name,Artist,Streams,URL,Date
1,Catriona,Matthaios,263295,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,2020-01-31
2,Yummy,Justin Bieber,261709,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-31
3,Make It With You,Ben&Ben,258038,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh,2020-01-31
4,Imahe,Magnus Haven,257549,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-01-31
5,Memories,Maroon 5,228356,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-31
6,Pagtingin,Ben&Ben,215869,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2020-01-31
7,ROXANNE,Arizona Zervas,196311,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-31
8,"10,000 Hours (with Justin Bieber)",Dan + Shay,193698,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-01-31
9,Hindi Tayo Pwede,The Juans,175738,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2020-01-31
10,Vibe With Me,Matthaios,172044,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui,2020-01-31
11,Someone You Loved,Lewis Capaldi,168618,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-01-31
12,I Want You Back,Matthaios,167806,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,2020-01-31
13,Don't Start Now,Dua Lipa,165700,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-31
14,Mean It,Lauv,165177,https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM,2020-01-31
15,Masyado Pang Maaga,Ben&Ben,155835,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2020-01-31
16,Binalewala - Original Version,Michael Dutchi Libranda,145506,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2020-01-31
17,Zebbiana,Skusta Clee,143714,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2020-01-31
18,Circles,Post Malone,141760,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-01-31
19,Sa Susunod Na Lang,PDL,135101,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2020-01-31
20,Ivana,Soulstice,132109,https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz,2020-01-31
21,Kathang Isip,Ben&Ben,131813,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2020-01-31
22,Neneng B,Nik Makino,130440,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2020-01-31
23,Falling,Trevor Daniel,125663,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-31
24,Beautiful People (feat. Khalid),Ed Sheeran,124228,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2020-01-31
25,Tala,Sarah Geronimo,123193,https://open.spotify.com/track/4T7CM071eEoHudiDShZlCJ,2020-01-31
26,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,118302,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2020-01-31
27,comethru,Jeremy Zucker,116640,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2020-01-31
28,It's You,Ali Gatie,114458,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2020-01-31
29,Black Swan,BTS,114370,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b,2020-01-31
30,Dance Monkey,Tones And I,113457,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-31
31,Get You The Moon (feat. Snøw),Kina,110813,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2020-01-31
32,Maybe The Night,Ben&Ben,109933,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2020-01-31
33,Ayy Macarena,Tyga,108037,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2020-01-31
34,Lose You To Love Me,Selena Gomez,106982,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,2020-01-31
35,Rare,Selena Gomez,106276,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,2020-01-31
36,Godzilla (feat. Juice WRLD),Eminem,103021,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-01-31
