Position,Track Name,Artist,Streams,URL,Date
1,Buwan,juan karlos,316079,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2018-11-06
2,Kung 'Di Rin Lang Ikaw,December Avenue,258664,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-11-06
3,Sana,I Belong to the Zoo,258038,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2018-11-06
4,Malibu Nights,LANY,255319,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2018-11-06
5,"thank u, next",Ariana Grande,247240,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-11-06
6,Maybe The Night,Ben&Ben,221859,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2018-11-06
7,Sa Ngalan Ng Pag-Ibig,December Avenue,196165,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-11-06
8,Kathang Isip,Ben&Ben,186716,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-11-06
9,Love Someone,Lukas Graham,172460,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2018-11-06
10,Kiss and Make Up,Dua Lipa,166542,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-06
11,2002,Anne-Marie,163832,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2018-11-06
12,Happier,Marshmello,156234,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-06
13,Thru These Tears,LANY,155240,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2018-11-06
14,Mundo,IV Of Spades,139074,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-11-06
15,Beautiful (feat. Camila Cabello),Bazzi,130616,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-11-06
16,Weak,Khel Pangilinan,127761,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2018-11-06
17,Girls Like You (feat. Cardi B),Maroon 5,124242,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-11-06
18,'Di Na Muli,Janine Teñoso,118547,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-11-06
19,Better,Khalid,112621,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-06
20,I Don't Wanna Love You Anymore,LANY,111081,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2018-11-06
21,Bulong,December Avenue,107882,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2018-11-06
