Position,Track Name,Artist,Streams,URL,Date
1,Buwan,juan karlos,318987,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2018-11-04
2,Malibu Nights,LANY,250526,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2018-11-04
3,Kung 'Di Rin Lang Ikaw,December Avenue,242846,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-11-04
4,Sana,I Belong to the Zoo,242250,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2018-11-04
5,Maybe The Night,Ben&Ben,211562,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2018-11-04
6,Sa Ngalan Ng Pag-Ibig,December Avenue,186715,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-11-04
7,"thank u, next",Ariana Grande,177405,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-11-04
8,Kathang Isip,Ben&Ben,176669,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-11-04
9,Love Someone,Lukas Graham,156535,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2018-11-04
10,2002,Anne-Marie,152542,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2018-11-04
11,Kiss and Make Up,Dua Lipa,152031,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-04
12,Thru These Tears,LANY,147257,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2018-11-04
13,Happier,Marshmello,144890,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-04
14,Mundo,IV Of Spades,129743,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-11-04
15,Beautiful (feat. Camila Cabello),Bazzi,122026,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-11-04
16,Girls Like You (feat. Cardi B),Maroon 5,118472,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-11-04
17,Weak,Khel Pangilinan,116095,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2018-11-04
18,'Di Na Muli,Janine Teñoso,110156,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-11-04
19,Better,Khalid,107222,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-04
20,I Don't Wanna Love You Anymore,LANY,103827,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2018-11-04
21,Bulong,December Avenue,101145,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2018-11-04
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,98084,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-04
23,Eastside (with Halsey & Khalid),benny blanco,96824,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-04
