Position,Track Name,Artist,Streams,URL,Date
1,Zebbiana,Skusta Clee,239054,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-09-24
2,Pagtingin,Ben&Ben,210748,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-09-24
3,Señorita,Shawn Mendes,197713,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-09-24
4,Ikaw At Ako,Moira Dela Torre,195185,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-09-24
5,Kung 'Di Rin Lang Ikaw,December Avenue,172369,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-09-24
6,Sa Susunod Na Lang,PDL,165638,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-09-24
7,Feel Special,TWICE,161445,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,2019-09-24
8,Beautiful People (feat. Khalid),Ed Sheeran,153468,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-09-24
9,comethru,Jeremy Zucker,140583,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-09-24
10,Lover,Taylor Swift,138015,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2019-09-24
11,I Don't Care (with Justin Bieber),Ed Sheeran,137465,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-09-24
12,Circles,Post Malone,134800,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-09-24
13,How Do You Sleep?,Sam Smith,127775,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-09-24
14,Sana,I Belong to the Zoo,126130,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-09-24
15,Kathang Isip,Ben&Ben,125783,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-09-24
16,Hindi Na Nga,This Band,124348,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-09-24
17,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,123366,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-09-24
18,I.F.L.Y.,Bazzi,117181,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-09-24
19,Nobody Knows,Russ,115653,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-09-24
20,Dahan,December Avenue,111514,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-09-24
21,Bagay Tayo,ALLMO$T,108029,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-09-24
22,Maybe The Night,Ben&Ben,106707,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-09-24
23,"fuck, i'm lonely",Lauv,105679,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-09-24
24,Sanctuary,Joji,104223,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-09-24
25,Goodbyes (Feat. Young Thug),Post Malone,102452,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-09-24
26,"Patawad, Paalam",Moira Dela Torre,101063,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2019-09-24
27,'Di Na Babalik,This Band,100726,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-09-24
28,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,99538,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,2019-09-24
29,Someone You Loved,Lewis Capaldi,97937,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-09-24
30,It's You,Ali Gatie,97670,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-09-24
31,Balang Araw,I Belong to the Zoo,97102,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-09-24
32,Sa Ngalan Ng Pag-Ibig,December Avenue,96437,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-09-24
33,Memories,Maroon 5,92719,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-09-24
34,Cruel Summer,Taylor Swift,90177,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,2019-09-24
35,Mabagal,Daniel Padilla,89246,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2019-09-24
36,Paalam,Moira Dela Torre,88305,https://open.spotify.com/track/22AZDYG6qrjMFg0ceeL9X6,2019-09-24
37,Kahit Ayaw Mo Na,This Band,84906,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-09-24
38,Liar,Camila Cabello,84071,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,2019-09-24
39,Dalaga,Arvey,83577,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr,2019-09-24
40,Never Really Over,Katy Perry,82878,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-09-24
41,Old Town Road - Remix,Lil Nas X,81969,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-09-24
42,boyfriend (with Social House),Ariana Grande,81408,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-09-24
43,Missin You Crazy,Russ,76554,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr,2019-09-24
44,Wrong,Luh Kel,75471,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg,2019-09-24
45,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,73052,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-09-24
46,I Like Me Better,Lauv,72966,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-09-24
47,Could I Love You Any More (feat. Jason Mraz),Reneé Dominique,69421,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8,2019-09-24
48,Bulong,December Avenue,65958,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-09-24
49,Nobela,Join The Club,64257,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC,2019-09-24
50,You Need To Calm Down,Taylor Swift,60690,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,2019-09-24
51,2002,Anne-Marie,59665,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-09-24
52,Hindi Tayo Pwede,The Juans,59612,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2019-09-24
53,Buwan,juan karlos,58794,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019-09-24
54,Mundo,IV Of Spades,58738,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2019-09-24
55,Pauwi Nako,PDL,57920,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2019-09-24
56,Talk (feat. Disclosure),Khalid,57848,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-09-24
57,Tagpuan,Moira Dela Torre,57234,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2019-09-24
