Position,Track Name,Artist,Streams,URL,Date
1,Memories,Maroon 5,320799,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-11-30
2,Neneng B,Nik Makino,253903,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg,2019-11-30
3,Pagtingin,Ben&Ben,208720,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-11-30
4,"10,000 Hours (with Justin Bieber)",Dan + Shay,201679,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-11-30
5,Zebbiana,Skusta Clee,197048,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL,2019-11-30
6,Binalewala - Original Version,Michael Dutchi Libranda,191277,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6,2019-11-30
7,Mean It,Lauv,189829,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,2019-11-30
8,Into the Unknown,Idina Menzel,170565,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,2019-11-30
9,Hindi Tayo Pwede,The Juans,166691,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP,2019-11-30
10,ROXANNE,Arizona Zervas,156072,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019-11-30
11,Circles,Post Malone,147023,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-11-30
12,Imahe,Magnus Haven,144408,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2019-11-30
13,Sa Susunod Na Lang,PDL,140605,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-11-30
14,Beautiful People (feat. Khalid),Ed Sheeran,139521,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-11-30
15,Don't Start Now,Dua Lipa,134728,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-11-30
16,Someone You Loved,Lewis Capaldi,132166,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-11-30
17,comethru,Jeremy Zucker,131620,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-11-30
18,Masyado Pang Maaga,Ben&Ben,130292,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t,2019-11-30
19,Lose You To Love Me,Selena Gomez,128991,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-30
20,Señorita,Shawn Mendes,128334,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-30
21,Ikaw At Ako,Moira Dela Torre,126890,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2019-11-30
22,It's You,Ali Gatie,116953,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2019-11-30
23,I.F.L.Y.,Bazzi,115349,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-11-30
24,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,110255,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-11-30
25,Kathang Isip,Ben&Ben,105921,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-11-30
26,Sanctuary,Joji,104080,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019-11-30
27,Get You The Moon (feat. Snøw),Kina,103147,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019-11-30
28,Nobody Knows,Russ,102712,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-11-30
29,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,100950,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,2019-11-30
30,I Don't Care (with Justin Bieber),Ed Sheeran,98502,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-11-30
31,Kung 'Di Rin Lang Ikaw,December Avenue,98071,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-11-30
32,Mabagal,Daniel Padilla,97461,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2019-11-30
33,Dahan,December Avenue,95734,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-11-30
34,Bagay Tayo,ALLMO$T,94804,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-11-30
35,Dalaga,Arvey,93281,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr,2019-11-30
36,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,93214,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw,2019-11-30
37,How Do You Sleep?,Sam Smith,92867,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-11-30
38,Sana,I Belong to the Zoo,92640,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-11-30
39,Ayy Macarena,Tyga,91339,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2019-11-30
40,Feelings,Lauv,85536,https://open.spotify.com/track/1cL3ucXzG2hj3XOUPIWdvZ,2019-11-30
41,Make It Right (feat. Lauv),BTS,83755,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH,2019-11-30
42,Maybe The Night,Ben&Ben,80455,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-11-30
43,Goodbyes (Feat. Young Thug),Post Malone,80127,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-11-30
44,Sa Ngalan Ng Pag-Ibig,December Avenue,79865,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019-11-30
45,"Patawad, Paalam",Moira Dela Torre,79732,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2019-11-30
46,Dance Monkey,Tones And I,68730,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-30
47,Kahit Ayaw Mo Na,This Band,68730,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-11-30
48,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,68622,https://open.spotify.com/track/421eObjg0DTm2qajJl5OJm,2019-11-30
49,everything i wanted,Billie Eilish,66990,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2019-11-30
50,Nang Iwan,This Band,66399,https://open.spotify.com/track/7Livy729zY16jBsppfYLRW,2019-11-30
51,Show Yourself,Idina Menzel,64786,https://open.spotify.com/track/50WeOnXhM1H7AZEeIDoWfZ,2019-11-30
52,Can We Kiss Forever?,Kina,64509,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,2019-11-30
53,Lexi,Nik Makino,62810,https://open.spotify.com/track/5LZqOdfYUXunyhHmPqGI6j,2019-11-30
54,Miracle Nights,ALLMO$T,62670,https://open.spotify.com/track/3sWLOFGI7dNN6YBM1m1RKB,2019-11-30
55,Blueming,IU,62183,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO,2019-11-30
56,Could I Love You Any More (feat. Jason Mraz),Reneé Dominique,57171,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8,2019-11-30
