Position,Track Name,Artist,Streams,URL,Date
1,Señorita,Shawn Mendes,300139,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-02
2,Beautiful People (feat. Khalid),Ed Sheeran,186118,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-08-02
3,I Don't Care (with Justin Bieber),Ed Sheeran,171402,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-02
4,comethru,Jeremy Zucker,168163,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-08-02
5,Sa Susunod Na Lang,PDL,162050,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-08-02
6,How Do You Sleep?,Sam Smith,154300,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-02
7,Sana,I Belong to the Zoo,142778,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-08-02
8,Hindi Na Nga,This Band,138684,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-08-02
9,Goodbyes (Feat. Young Thug),Post Malone,136739,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-08-02
10,Kung 'Di Rin Lang Ikaw,December Avenue,132908,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019-08-02
11,Pagtingin,Ben&Ben,131409,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd,2019-08-02
12,Nobody Knows,Russ,128410,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-08-02
13,Bagay Tayo,ALLMO$T,124352,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-08-02
14,'Di Na Babalik,This Band,123158,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2019-08-02
15,Maybe The Night,Ben&Ben,121296,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019-08-02
16,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,117402,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c,2019-08-02
17,Malibu Nights,LANY,117056,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2019-08-02
18,Dahan,December Avenue,116537,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2019-08-02
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,115654,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-08-02
20,Bulong,December Avenue,115360,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019-08-02
21,Talk (feat. Disclosure),Khalid,114238,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-08-02
22,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,112899,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk,2019-08-02
23,Old Town Road - Remix,Lil Nas X,110230,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-02
24,Kahit Ayaw Mo Na,This Band,109958,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2019-08-02
25,Never Really Over,Katy Perry,109028,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-08-02
26,Kathang Isip,Ben&Ben,105411,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019-08-02
27,If I Can't Have You,Shawn Mendes,103268,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2019-08-02
28,You Need To Calm Down,Taylor Swift,100351,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-08-02
29,Balang Araw,I Belong to the Zoo,98510,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019-08-02
30,Wrong,Luh Kel,95459,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg,2019-08-02
