Position,Track Name,Artist,Streams,URL,Date
1,In My Feelings,Drake,339205,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-07-22
2,Girls Like You (feat. Cardi B),Maroon 5,167683,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-07-22
3,Mundo,IV Of Spades,146339,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-07-22
4,2002,Anne-Marie,138762,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB,2018-07-22
5,Kathang Isip,Ben&Ben,136130,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-07-22
6,'Di Na Muli,Janine Teñoso,132258,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-07-22
7,Thru These Tears,LANY,131239,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi,2018-07-22
8,DDU-DU DDU-DU - KR Ver.,BLACKPINK,122636,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu,2018-07-22
9,Rise,Jonas Blue,120834,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,2018-07-22
10,Tagpuan,Moira Dela Torre,117799,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2018-07-22
11,God is a woman,Ariana Grande,116362,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ,2018-07-22
12,BBoom BBoom,MOMOLAND,105530,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,2018-07-22
13,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,93822,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2018-07-22
14,Nadarang,Shanti Dope,92708,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF,2018-07-22
15,13,LANY,91396,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F,2018-07-22
16,BAAM,MOMOLAND,89121,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW,2018-07-22
17,Ocean (feat. Khalid),Martin Garrix,89058,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,2018-07-22
18,Kung 'Di Rin Lang Ikaw,December Avenue,83016,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-07-22
19,Freaky Friday (feat. Chris Brown),Lil Dicky,75816,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,2018-07-22
20,Eastside (with Halsey & Khalid),benny blanco,75396,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-07-22
21,Solo (feat. Demi Lovato),Clean Bandit,74585,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,2018-07-22
22,no tears left to cry,Ariana Grande,74175,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,2018-07-22
23,Sa Ngalan Ng Pag-Ibig,December Avenue,73644,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-07-22
24,Don’t Matter To Me (with Michael Jackson),Drake,73487,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0,2018-07-22
25,Lucid Dreams,Juice WRLD,71376,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-07-22
26,Bed (feat. Ariana Grande),Nicki Minaj,70572,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS,2018-07-22
27,IDGAF,Dua Lipa,68622,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-07-22
28,Entertainer,ZAYN,68591,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx,2018-07-22
29,The Middle,Zedd,67955,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2018-07-22
30,Youngblood,5 Seconds of Summer,67496,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-07-22
