Position,Track Name,Artist,Streams,URL,Date,Region
1,In My Feelings,Drake,169865,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-09-01,ph
2,Kung 'Di Rin Lang Ikaw,December Avenue,160757,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-09-01,ph
3,Girls Like You (feat. Cardi B),Maroon 5,159343,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-09-01,ph
4,Thru These Tears,LANY,147800,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi,2018-09-01,ph
5,Kathang Isip,Ben&Ben,146534,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-09-01,ph
6,Mundo,IV Of Spades,142931,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-09-01,ph
7,No Brainer,DJ Khaled,135140,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,2018-09-01,ph
8,Sa Ngalan Ng Pag-Ibig,December Avenue,133791,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-09-01,ph
9,'Di Na Muli,Janine Teñoso,131165,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-09-01,ph
10,Beautiful (feat. Camila Cabello),Bazzi,126232,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-09-01,ph
11,Eastside (with Halsey & Khalid),benny blanco,126082,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-09-01,ph
12,2002,Anne-Marie,105289,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2018-09-01,ph
13,Happy Now,Zedd,102797,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,2018-09-01,ph
14,BAAM,MOMOLAND,102357,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW,2018-09-01,ph
15,Tagpuan,Moira Dela Torre,99332,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2018-09-01,ph
16,Rise,Jonas Blue,98469,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,2018-09-01,ph
