Position,Track Name,Artist,Streams,URL,Date,Region
46,A Different Way (with Lauv),DJ Snake,62133,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP,2018-02-01,ph
47,New,Daya,62121,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK,2018-02-01,ph
48,Capital Letters,Hailee Steinfeld,60528,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO,2018-02-01,ph
49,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,60509,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,2018-02-01,ph
50,Pasensya Ka Na,Silent Sanctuary,60371,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2018-02-01,ph
51,Shape of You,Ed Sheeran,55706,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-02-01,ph
52,Nadarang,Shanti Dope,54497,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF,2018-02-01,ph
53,Fresh Eyes,Andy Grammer,53892,https://open.spotify.com/track/5NDUXbMwcnTQp66tI2zcdR,2018-02-01,ph
54,Tagpuan,Moira Dela Torre,52913,https://open.spotify.com/track/4uyp73pmsVkogpZfKSLdyh,2018-02-01,ph
55,ILYSB,LANY,52080,https://open.spotify.com/track/0dPBlz8N0veeceejtuvpPz,2018-02-01,ph
56,Di Makatulog,SUD,50678,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI,2018-02-01,ph
57,Photograph,Ed Sheeran,50149,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2018-02-01,ph
58,Stargazing,Kygo,49492,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,2018-02-01,ph
59,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,49327,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC,2018-02-01,ph
60,It's Gotta Be You,Isaiah,48565,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2018-02-01,ph
