Position,Track Name,Artist,Streams,URL,Date,Region
1,Shape of You,Ed Sheeran,296591,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-01,ph
2,Something Just Like This,The Chainsmokers,261960,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-03-01,ph
3,That's What I Like,Bruno Mars,249568,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-03-01,ph
4,Versace on the Floor,Bruno Mars,232517,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-03-01,ph
5,Say You Won't Let Go,James Arthur,230845,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-03-01,ph
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,193842,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-03-01,ph
7,Paris,The Chainsmokers,171398,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-03-01,ph
8,"How Far I'll Go - From ""Moana""",Alessia Cara,148096,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-03-01,ph
9,It Ain't Me (with Selena Gomez),Kygo,144197,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-03-01,ph
10,Closer,The Chainsmokers,133863,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-03-01,ph
11,24K Magic,Bruno Mars,122859,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-03-01,ph
12,Starving,Hailee Steinfeld,122849,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-03-01,ph
13,Scared to Be Lonely,Martin Garrix,121897,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-03-01,ph
14,Bad Things (with Camila Cabello),Machine Gun Kelly,121212,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-03-01,ph
15,Don't Wanna Know,Maroon 5,117152,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-03-01,ph
16,All Night,The Vamps,111821,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-03-01,ph
17,Call On Me - Ryan Riback Extended Remix,Starley,107726,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-03-01,ph
18,Issues,Julia Michaels,106608,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-03-01,ph
19,All We Know,The Chainsmokers,104887,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-03-01,ph
20,Perfect Strangers,Jonas Blue,104064,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-03-01,ph
21,Fresh Eyes,Andy Grammer,101104,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-03-01,ph
22,Sila,SUD,101067,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-03-01,ph
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,99277,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-03-01,ph
24,It's Gotta Be You,Isaiah,97887,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-03-01,ph
25,Just Hold On,Steve Aoki,96291,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-03-01,ph
26,Chained To The Rhythm,Katy Perry,93861,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,2017-03-01,ph
27,Stay (with Alessia Cara),Zedd,92789,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-03-01,ph
28,Weak,AJR,92499,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-03-01,ph
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer,87237,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-03-01,ph
30,Lot to Learn,Luke Christopher,86958,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-03-01,ph
31,Hanggang Kailan,Michael Pangilinan,86943,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-03-01,ph
32,Let Me Love You,DJ Snake,85213,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-03-01,ph
33,In the Name of Love,Martin Garrix,81537,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-03-01,ph
34,By Your Side,Jonas Blue,81460,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-03-01,ph
35,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,80906,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ,2017-03-01,ph
36,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,79819,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-03-01,ph
37,Side To Side,Ariana Grande,78438,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-03-01,ph
38,Don't Leave,Snakehips,75191,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92,2017-03-01,ph
39,Jumpshot,Dawin,74378,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-03-01,ph
40,Cold,Maroon 5,72144,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-03-01,ph
41,Treat You Better,Shawn Mendes,69393,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-03-01,ph
42,Tadhana,Up Dharma Down,68518,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-03-01,ph
43,I Feel It Coming,The Weeknd,67330,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-03-01,ph
