Position,Track Name,Artist,Streams,URL,Date,Region
1,Versace on the Floor,Bruno Mars,185236,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-01-01,ph
2,Say You Won't Let Go,James Arthur,180552,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,ph
3,Closer,The Chainsmokers,158720,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ph
4,All We Know,The Chainsmokers,130874,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,ph
5,Don't Wanna Know,Maroon 5,129656,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,ph
6,24K Magic,Bruno Mars,123924,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,ph
7,Starving,Hailee Steinfeld,123786,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,ph
8,"How Far I'll Go - From ""Moana""",Alessia Cara,107298,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-01,ph
9,Let Me Love You,DJ Snake,104960,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,ph
10,Starboy,The Weeknd,104708,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ph
11,Jumpshot,Dawin,102299,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-01-01,ph
12,Cold Water (feat. Justin Bieber & MØ),Major Lazer,100090,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,ph
13,Perfect Strangers,Jonas Blue,99935,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-01-01,ph
14,Bad Things (with Camila Cabello),Machine Gun Kelly,96455,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01,ph
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,95050,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,ph
16,All Night,The Vamps,91056,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01,ph
17,In the Name of Love,Martin Garrix,90230,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,ph
18,Side To Side,Ariana Grande,89786,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,ph
19,Call On Me - Ryan Riback Extended Remix,Starley,86250,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,ph
20,Fresh Eyes,Andy Grammer,81361,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-01-01,ph
21,By Your Side,Jonas Blue,80131,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01,ph
22,Treat You Better,Shawn Mendes,79976,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,ph
23,Middle,DJ Snake,74642,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2017-01-01,ph
24,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74406,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ph
25,Sila,SUD,70631,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-01-01,ph
26,We Don't Talk Anymore,Charlie Puth,67804,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,ph
27,Just Hold On,Steve Aoki,66920,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,ph
28,Setting Fires,The Chainsmokers,66503,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,2017-01-01,ph
29,Don't Let Me Down,The Chainsmokers,65849,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,ph
30,Shout Out to My Ex,Little Mix,63510,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,2017-01-01,ph
31,"i hate u, i love u (feat. olivia o'brien)",gnash,62268,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2017-01-01,ph
32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,61609,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,ph
33,Black Beatles,Rae Sremmurd,61603,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,ph
34,YOUTH,Troye Sivan,60943,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9,2017-01-01,ph
35,Fake Love,Drake,57620,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,ph
36,Mercy,Shawn Mendes,57388,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,ph
37,Scars To Your Beautiful,Alessia Cara,56784,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-01,ph
38,"Sit Still, Look Pretty",Daya,53971,https://open.spotify.com/track/2DpCdPMg1BADE4HDnxt3Rd,2017-01-01,ph
39,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,53307,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,2017-01-01,ph
40,Pasensya Ka Na,Silent Sanctuary,52955,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2017-01-01,ph
41,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,51970,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-01,ph
42,You & Me,Marc E. Bassy,50977,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,2017-01-01,ph
43,The Ocean (feat. Shy Martin),Mike Perry,50934,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,2017-01-01,ph
44,I Feel It Coming,The Weeknd,49077,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,ph
45,All Time Low,Jon Bellion,48534,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-01,ph
46,Tadhana,Up Dharma Down,48330,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-01-01,ph
47,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,43441,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-01,ph
48,One Dance,Drake,43183,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,ph
49,Photograph,Ed Sheeran,40089,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-01-01,ph
50,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,39075,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-01-01,ph
51,That's What I Like,Bruno Mars,39029,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-01-01,ph
