Position,Track Name,Artist,Streams,URL,Date,Region
1,Señorita,Shawn Mendes,329715,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,2019-07-01,ph
2,I Don't Care (with Justin Bieber),Ed Sheeran,215160,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-07-01,ph
3,Beautiful People (feat. Khalid),Ed Sheeran,200605,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97,2019-07-01,ph
4,Sana,I Belong to the Zoo,166327,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019-07-01,ph
5,comethru,Jeremy Zucker,159219,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-07-01,ph
6,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,157147,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk,2019-07-01,ph
7,Sa Susunod Na Lang,PDL,152324,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU,2019-07-01,ph
8,Never Really Over,Katy Perry,147398,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-07-01,ph
9,Bagay Tayo,ALLMO$T,145416,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2019-07-01,ph
10,You Need To Calm Down,Taylor Swift,140174,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-07-01,ph
11,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,131717,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-07-01,ph
12,Hindi Na Nga,This Band,131626,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2019-07-01,ph
13,Kill This Love,BLACKPINK,129999,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-07-01,ph
14,If I Can't Have You,Shawn Mendes,128681,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019-07-01,ph
15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,128331,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-07-01,ph
16,Nobody Knows,Russ,126139,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2019-07-01,ph
17,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,125726,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw,2019-07-01,ph
