Position,Track Name,Artist,Streams,URL,Date,Region
1,Mundo,IV Of Spades,194877,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-04-01,ph
2,IDGAF,Dua Lipa,157385,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-04-01,ph
3,Rewrite The Stars,Zac Efron,145929,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2018-04-01,ph
4,The Middle,Zedd,139495,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m,2018-04-01,ph
5,Nadarang,Shanti Dope,136925,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF,2018-04-01,ph
6,Freaky Friday (feat. Chris Brown),Lil Dicky,128612,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,2018-04-01,ph
7,Psycho (feat. Ty Dolla $ign),Post Malone,128177,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF,2018-04-01,ph
8,Mine,Bazzi,122969,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,2018-04-01,ph
9,Never Be the Same,Camila Cabello,111288,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-04-01,ph
10,FRIENDS,Marshmello,106289,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2018-04-01,ph
11,Capital Letters,Hailee Steinfeld,105970,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO,2018-04-01,ph
12,Love Lies (with Normani),Khalid,101958,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2018-04-01,ph
13,Tagpuan,Moira Dela Torre,97620,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2018-04-01,ph
14,Hayaan Mo Sila,Ex Battalion,96675,https://open.spotify.com/track/7MrDfa1uQGVXx0JMZ2u5tN,2018-04-01,ph
15,Kathang Isip,Ben&Ben,94231,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-04-01,ph
16,All The Stars (with SZA),Kendrick Lamar,93969,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,2018-04-01,ph
17,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,92259,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2018-04-01,ph
